"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18348","spm","","880147","0","97620","EOST 9110","paratype","","","nymph body","","1","text","","","Vogesonympha ludovici","species","170313","","Vogesonympha ludovici","species","170313","247.2","242","33330"
"18349","spm","","880147","0","97620","EOST 8036","holotype","","","nymph body","","1","text","","","Vogesonympha ludovici","species","170313","","Vogesonympha ludovici","species","170313","247.2","242","33330"
"18350","spm","","880145","0","97620","EOST 9199","","","","nymph body","","1","text","","9-9.7 mm","Mesoplectopteron longipes","species","170305","","Mesoplectopteron longipes","species","170305","247.2","242","33330"
"18351","spm","","880143","0","97620","EOST 6622/6623","holotype","","","nymph body","","1","picture","","","Voltziaephemera fossoria","species","170299","","Voltziaephemera fossoria","species","170299","247.2","242","33330"
"18352","spm","","880143","0","97620","EOST 9217","paratype","","","nymph body","","1","picture","","","Voltziaephemera fossoria","species","170299","","Voltziaephemera fossoria","species","170299","247.2","242","33330"
"18353","spm","","880143","0","97620","EOST 9163","paratype","","","nymph body","","1","picture","","","Voltziaephemera fossoria","species","170299","","Voltziaephemera fossoria","species","170299","247.2","242","33330"
"18354","spm","","880141","0","97620","EOST 9246","paratype","","","nymph body","","1","text","","","Triassoephemera punctata","species","170289","","Triassoephemera punctata","species","170289","247.2","242","33330"
"18775","spm","","277109","0","26452","PVL 2577","holotype","","right","tibia","","1","table","","","Pisanosaurus mertii","species","64409","","Pisanosaurus mertii","species","64409","237","228","10109"
"18776","spm","","277109","0","26452","PVL 2577","holotype","","right","fibula","","1","table","","","Pisanosaurus mertii","species","64409","","Pisanosaurus mertii","species","64409","237","228","10109"
"18777","spm","","558358","0","57948","BMNH 3556","","","","humerus","","1","table","","","Scleromochlus taylori","species","63718","","Scleromochlus taylori","species","63718","237","208.5","13804"
"18778","spm","","558358","0","57948","BMNH 3556","","","","ulna","","1","table","","","Scleromochlus taylori","species","63718","","Scleromochlus taylori","species","63718","237","208.5","13804"
"18779","spm","","558358","0","57948","BMNH 3557","","","","femur","","1","table","","","Scleromochlus taylori","species","63718","","Scleromochlus taylori","species","63718","237","208.5","13804"
"18780","spm","","558358","0","57948","BMNH 3557","","","","tibia","","1","table","","includes astragalus","Scleromochlus taylori","species","63718","","Scleromochlus taylori","species","63718","237","208.5","13804"
"18788","spm","","573793","0","60297","UPLR 06","holotype","","","femur","","1","table","","","Lagerpeton chanarensis","species","66341","","Lagerpeton chanarensis","species","66341","242","237","13754"
"18789","spm","","573793","0","60297","UPLR 06","holotype","","","tibia","","1","table","","","Lagerpeton chanarensis","species","66341","","Lagerpeton chanarensis","species","66341","242","237","13754"
"18790","spm","","272322","0","26092","PVL 4619","","","","femur","","1","table","","","Lagerpeton chanarensis","species","66341","","Lagerpeton chanarensis","species","66341","242","237","13754"
